Age,LOS_freq_1,LOS_freq_2,LOS_freq_3,LOS_freq_4,LOS_freq_5,LOS_freq_6,LOS_freq_7,LOS_freq_8,LOS_freq_9,LOS_freq_10,LOS_freq_11,LOS_freq_12,LOS_freq_13,LOS_freq_14,LOS_freq_15,LOS_freq_16,LOS_freq_17,LOS_freq_18,LOS_freq_19,LOS_freq_20,LOS_freq_21,LOS_freq_22,LOS_freq_23,LOS_freq_24,LOS_freq_25,LOS_freq_26,LOS_freq_27,LOS_freq_28,LOS_freq_29,LOS_freq_30,LOS_freq_31,LOS_freq_32,LOS_freq_33,LOS_freq_34,LOS_freq_35,LOS_freq_36,LOS_freq_37,LOS_freq_38,LOS_freq_39,LOS_freq_40,LOS_freq_41,LOS_freq_42,LOS_freq_43,LOS_freq_44,LOS_freq_45,LOS_freq_46,LOS_freq_47,LOS_freq_48,LOS_freq_49,LOS_freq_50,LOS_freq_51,LOS_freq_52,LOS_freq_53,LOS_freq_54,LOS_freq_55,LOS_freq_56,LOS_freq_57
0,169,122,43,17,14,3,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,32,28,7,5,2,1,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,101,65,20,12,6,4,1,2,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,91,56,23,11,13,6,4,1,6,3,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,86,60,29,14,13,10,6,6,4,2,3,1,0,2,1,3,1,1,2,0,2,2,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,109,85,42,20,18,13,11,12,6,6,13,5,5,1,2,1,2,3,2,2,6,0,1,1,2,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
60,110,114,72,72,47,35,22,18,16,9,11,4,10,13,8,7,4,6,5,1,6,2,1,3,1,4,2,2,1,0,1,0,2,0,2,0,2,2,1,2,0,1,0,0,1,0,2,1,1,1,0,0,1,0,1,1,2
70,111,124,95,75,52,52,35,37,48,14,14,19,16,7,15,13,15,3,10,8,9,8,5,4,9,1,7,2,5,13,3,5,2,4,0,1,1,2,1,1,2,2,0,3,1,1,3,1,0,1,0,1,0,0,0,0,2
80,65,121,80,67,57,59,60,45,39,32,23,24,20,23,16,21,10,16,14,10,9,14,18,5,5,6,2,9,7,7,7,7,1,4,6,6,2,4,1,1,1,2,5,3,1,3,3,0,2,2,0,0,0,0,0,0,0
90,16,28,22,27,18,20,19,16,24,10,8,11,15,7,7,4,6,8,5,3,3,4,5,3,1,3,1,2,6,0,2,3,2,2,3,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
