t,area,nCasesByAge_1,nCasesByAge_2,nCasesByAge_3,nCasesByAge_4,nCasesByAge_5,nCasesByAge_6,nCasesByAge_7,nCasesByAge_8,nCasesByAge_9,nCasesByAge_10,nHospByAge_DOR_1,nHospByAge_DOR_2,nHospByAge_DOR_3,nHospByAge_DOR_4,nHospByAge_DOR_5,nHospByAge_DOR_6,nHospByAge_DOR_7,nHospByAge_DOR_8,nHospByAge_DOR_9,nHospByAge_DOR_10,nHospByAge_DOA_1,nHospByAge_DOA_2,nHospByAge_DOA_3,nHospByAge_DOA_4,nHospByAge_DOA_5,nHospByAge_DOA_6,nHospByAge_DOA_7,nHospByAge_DOA_8,nHospByAge_DOA_9,nHospByAge_DOA_10,nDiscByAge_1,nDiscByAge_2,nDiscByAge_3,nDiscByAge_4,nDiscByAge_5,nDiscByAge_6,nDiscByAge_7,nDiscByAge_8,nDiscByAge_9,nDiscByAge_10
25-Jan-2022,National,1,6,5,3,2,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26-Jan-2022,National,10,13,6,11,11,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
27-Jan-2022,National,12,25,21,20,12,14,5,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28-Jan-2022,National,8,20,22,16,12,13,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
29-Jan-2022,National,19,30,26,21,18,18,7,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jan-2022,National,8,20,20,14,11,10,5,4,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
31-Jan-2022,National,12,28,23,16,14,10,9,2,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
01-Feb-2022,National,17,30,27,22,15,11,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
02-Feb-2022,National,19,37,27,19,28,14,7,3,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,2,1,0,2,0,0,0,0,1,0,2,0,0,0,0
03-Feb-2022,National,21,48,46,51,27,32,9,4,1,0,1,1,1,1,0,1,1,0,0,0,2,2,1,0,1,0,2,2,1,2,1,1,2,0,1,1,0,0,0,0
04-Feb-2022,National,33,51,52,37,38,17,7,5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,2,1,1,0,0,0,0,2,0,0,0
05-Feb-2022,National,20,30,42,41,22,17,3,3,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
06-Feb-2022,National,33,35,44,38,23,26,8,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
07-Feb-2022,National,37,33,54,37,35,14,11,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
08-Feb-2022,National,19,28,38,25,16,18,8,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0
09-Feb-2022,National,53,60,102,78,60,42,19,5,1,0,1,0,5,1,2,1,1,0,0,0,2,0,2,0,1,0,0,1,1,0,1,0,2,1,1,2,0,2,1,0
10-Feb-2022,National,65,70,100,87,51,51,16,3,3,2,4,1,1,2,2,3,1,0,1,2,3,2,3,1,2,2,2,1,4,2,2,0,0,1,1,2,1,0,0,0
11-Feb-2022,National,68,123,163,124,89,55,23,10,4,0,3,1,1,0,3,0,1,0,3,0,3,0,0,3,1,2,1,1,5,0,2,2,2,2,0,1,1,0,1,1
12-Feb-2022,National,81,129,179,121,84,64,25,16,4,4,5,1,3,4,0,2,1,1,1,2,4,1,3,4,1,1,1,0,0,1,5,1,1,4,0,1,1,0,1,1
13-Feb-2022,National,90,135,151,116,80,52,30,13,3,0,3,0,3,3,0,0,3,3,2,0,4,0,4,1,0,1,1,2,2,1,4,0,3,1,2,1,0,4,0,0
14-Feb-2022,National,108,115,197,132,90,55,34,8,4,2,4,3,1,0,0,1,0,1,2,1,5,4,1,2,1,1,2,3,1,0,4,3,3,1,0,0,1,0,1,0
15-Feb-2022,National,145,246,267,238,127,88,38,16,3,1,7,5,2,3,2,3,1,5,0,1,6,4,2,4,2,2,0,3,1,0,6,4,4,4,0,2,0,0,0,0
16-Feb-2022,National,200,319,391,280,157,125,51,15,1,4,1,4,2,3,3,1,1,0,0,1,2,4,5,1,6,3,3,4,0,1,3,2,2,1,1,2,1,1,1,0
17-Feb-2022,National,213,369,537,321,215,161,67,18,3,0,8,2,6,4,5,1,1,0,0,0,7,3,3,4,2,1,2,4,4,1,5,4,3,3,5,0,3,0,0,1
18-Feb-2022,National,172,405,484,308,182,112,66,27,4,1,5,6,2,3,5,3,3,4,0,0,4,3,3,1,5,6,2,4,1,2,6,2,2,3,3,1,0,4,1,0
19-Feb-2022,National,283,606,645,399,250,187,77,32,20,4,11,6,7,6,4,10,2,4,2,2,12,5,5,5,2,6,4,5,3,0,10,5,4,4,2,2,2,2,0,0
20-Feb-2022,National,226,532,530,319,216,139,82,27,15,4,5,7,10,9,2,1,4,5,9,3,10,8,7,7,6,4,7,4,6,1,6,6,5,4,3,4,2,4,2,0
21-Feb-2022,National,275,780,749,470,276,172,74,33,11,0,14,10,10,9,9,6,6,3,2,0,9,8,9,7,8,6,6,8,4,0,10,8,6,10,6,5,2,4,3,0
22-Feb-2022,National,320,1033,887,449,343,227,113,45,18,1,11,8,12,7,5,14,8,8,6,1,14,11,16,10,5,12,5,4,6,2,13,11,13,6,6,4,6,1,3,1
23-Feb-2022,National,357,1046,1023,699,396,249,126,45,17,2,24,7,18,16,11,10,11,8,4,0,22,7,17,19,8,14,9,8,9,1,20,9,13,12,8,10,5,4,1,1
24-Feb-2022,National,412,1352,1687,830,523,360,139,63,20,2,14,6,13,12,6,7,9,12,5,1,18,9,16,13,6,7,13,13,8,1,11,6,16,13,5,10,5,3,3,2
25-Feb-2022,National,1857,5532,6983,4427,2796,1697,725,257,81,7,20,13,28,19,11,14,17,8,9,1,16,6,10,8,10,12,10,5,11,3,16,7,12,12,11,8,10,12,7,2
26-Feb-2022,National,1207,3190,3155,2212,1432,925,421,167,42,8,20,9,12,17,4,7,9,14,5,3,14,5,8,15,5,8,7,11,6,2,14,7,13,9,5,5,9,5,4,1
27-Feb-2022,National,1376,3452,3587,2634,1786,1018,499,162,47,13,13,10,7,14,9,13,3,6,4,0,21,11,8,8,12,8,8,7,4,2,21,7,8,9,6,6,3,8,5,0
28-Feb-2022,National,1781,4325,5074,3565,2489,1646,728,212,76,9,18,13,17,13,13,15,9,3,7,1,18,9,12,16,11,13,8,5,10,1,23,10,12,16,9,5,7,13,2,0
01-Mar-2022,National,2296,4639,5598,3963,2651,1787,874,308,107,26,21,15,21,24,11,18,20,11,13,6,15,17,19,18,6,12,14,8,14,6,13,9,14,12,5,8,9,1,9,2
02-Mar-2022,National,2108,4582,6212,4227,2894,1917,868,310,74,16,20,10,16,19,14,21,12,14,6,2,20,8,24,18,8,17,15,18,9,2,21,15,16,14,5,10,6,9,6,3
03-Mar-2022,National,2267,4324,5637,4198,2822,1877,952,349,102,18,29,9,10,16,20,24,17,14,18,4,23,9,12,17,16,16,9,15,13,6,23,9,20,18,11,13,13,10,6,0
